"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
134,239,"UGA","Uganda",45,"Nakapiripirit",126,"Chekwii","UG.NP.CE",NA,"3111","County","County","",""
135,239,"UGA","Uganda",45,"Nakapiripirit",127,"Pian","UG.NP.PA",NA,"3112","County","County","",""
136,239,"UGA","Uganda",45,"Nakapiripirit",128,"Pokot","UG.NP.PO",NA,"3113","County","County","","Upe"
137,239,"UGA","Uganda",46,"Nakasongola",129,"Buruli","UG.NA.BR",NA,"1091","County","County","",""
138,239,"UGA","Uganda",47,"Nebbi",130,"Jonam","UG.NE.JN",NA,"3101","County","County","",""
139,239,"UGA","Uganda",47,"Nebbi",131,"Okoro","UG.NE.OO",NA,"3102","County","County","",""
140,239,"UGA","Uganda",47,"Nebbi",132,"Padyere","UG.NE.PD",NA,"3103","County","County","",""
141,239,"UGA","Uganda",48,"Ntungamo",133,"Kajara","",NA,"4111","County","County","",""
142,239,"UGA","Uganda",48,"Ntungamo",134,"Ruhaama","",NA,"4112","County","County","",""
143,239,"UGA","Uganda",48,"Ntungamo",135,"Rushenyi","",NA,"4113","County","County","",""
144,239,"UGA","Uganda",49,"Pader",136,"Agago","UG.PD.AO",NA,"3122","County","County","",""
145,239,"UGA","Uganda",49,"Pader",137,"Aruu","UG.PD.AU",NA,"3121","County","County","",""
146,239,"UGA","Uganda",50,"Pallisa",138,"Budaka","UG.BD.BD",NA,"2104","County","County","",""
147,239,"UGA","Uganda",50,"Pallisa",139,"Butebo","UG.BD.BT",NA,"2101","County","County","",""
148,239,"UGA","Uganda",50,"Pallisa",140,"Kibuku","UG.PL.KB",NA,"2102","County","County","",""
149,239,"UGA","Uganda",50,"Pallisa",141,"Pallisa","UG.PL.PL",NA,"2103","County","County","",""
150,239,"UGA","Uganda",51,"Rakai",142,"Kabula","UG.RA.KB",NA,"1101","County","County","",""
151,239,"UGA","Uganda",51,"Rakai",143,"Kakuuto","UG.RA.KK",NA,"1102","County","County","",""
